Secteur principal,Secteur d'activité ,Secteur d'activité connexe,Sous-secteur,Catégorie de métier,Code NAF,Qualification,Expositions,Risques,Examens utiles
,,Communication - Information,,Journaliste reporter d'images,,,,,
,,Communication - Information / Sciences,,Journaliste scientfique,,,,,
,,,,Médiateur culturel,,,,,
,,Education - Enseignement - Formation,,Musicologue,,,,,
,,,,,,,,,
,,,Décor,Accessoiriste,,,,,
,,,Décor,Décorateur scénographe,,,,,
,,,Décor,Habilleur,,,,,
,,,,Modéliste,,,,,
,,,,Styliste,,,,,
,,Informatique - Numérique - Multimédia,Image,Animateur 2D-3D,,,,,
,,Informatique - Numérique - Multimédia,Image,DIrecteur artistique,,,,,
,,Informatique - Numérique - Multimédia,Image,Directeur artistique 3D,,,,,
,,Informatique - Numérique - Multimédia,Image / Ingénierie,Ingénieur en réalité virtuelle,,,,,
,,Informatique - Numérique - Multimédia,Image,Graphiste illustrateur 2D-3D,,,,,
,,Informatique - Numérique - Multimédia,Image,Graphiste multimédia,,,,,
,,Informatique - Numérique - Multimédia,,Modeleur 3D,,,,,
,,Informatique - Numérique - Multimédia,,Motion designer,,,,,
,,Informatique - Numérique - Multimédia,,Progammeur technique de jeux vidéos,,,,,
,,Informatique - Numérique - Multimédia,,Scénariste multimédia,,,,,
,,Informatique - Numérique - Multimédia,,Scripte de jeux vidéos,,,,,
,,,Image,Projectionniste,,,,,
,,,Image,Technicien de labo photo,,,,,
,,,Image,Chef opérateur,,,,,
,,,Image,Réalisateur,,,,,
,,,Image,Réalisateur 3D,,,,,
,,,Image,Technicien vidéo,,,,,
,,,Lumière,Artificier,,,,,
,,,Lumière,Technicien lumière,,,,,
,,,Production,Cadreur,,,,,
,,,Production,Chargé de diffusion,,,,,
,,,Production,Chargé de production,,,,,
,,,Production,Chargé de programmation,,,,,
,,,Production,Chargé d'habillage et d'autopromotion,,,,,
,,,Production,Gestionnaire d'antenne,,,,,
,,Informatique - Numérique - Multimédia,Production,Producer,,,,,
,,,,,,,,,
