sector,activity_area,Secteur d'activité connexe,label,category,Qualification,Expositions,Risques,Examens utiles
,,,,Game designer,,,,
,,Culture - Art - Spectacle,,Graphiste illustrateur 2D-3D,,,,
,,,,Hot liner,,,,
,,,Ingénierie,Ingénieur d'étude et de développement,,,,
,,,Ingénierie,Ingénieur de production,,,,
,,,Ingénierie,Ingénieur de recherche produit,,,,
,,Recherche / Sécurité - Défense,Ingénierie,Ingénieur aéronautique et aéorospatial,,,,
,,,Ingénierie,Ingénieur en intelligence artificielle - IA,,,,
,,,Ingénierie,Ingénieur réseau,,,,
,,,,Installateur antenniste,,,,
,,,,Installeur d'alarmes,,,,
,,,,Installateur en télécom,,,,
,,,,Intégrateur web,,,,
,,Sécurité - Défense,,Intercepteur technique et graphie de l'armée de l'air,,,,
,,,,Level designer,,,,
,,,,Mécatronicien,,,,
,,Culture - Art - Spectacle,,Modeleur 3D,,,,
,,,,Monteur électricien réseau,,,,
,,,,Opérateur régleur sur machine automatisée,,,,
,,,,Planificateur de production,,,,
,,Culture - Art - Spectacle,,Producer,,,,
,,Culture - Art - Spectacle,,Progammeur technique de jeux vidéos,,,,
,,,,Responsable de projets informatiques,,,,
,,,,Responsable de sécurité informatique,,,,
,,Culture - Art - Spectacle,,Scénariste multimédia,,,,
,,Culture - Art - Spectacle,,Scripte de jeux vidéos,,,,
,,Culture - Art - Spectacle,,Sound designer,,,,
,,,,Technicien de ligne haute tension,,,,
,,,,Technicien de maintenance de machines à sous,,,,
,,,,Technicien d'intervention clientèle gaz,,,,
,,,,Technicien imprimante 3D,,,,
,,,,Technicien de maintenance en distribution automatique,,,,
,,,,Technicien de maintenance informatique ,,,,
,,,,Technicien électronicien ,,,,
,,,,Testeur de jeux vidéos,,,,
,,,,Traffic manager,,,,
,,Commerce,,Vendeur en micro-informatique et multimédia,,,,
,,,,Webmaster,,,,
,Réparation,,,Serrurier-dépanneur,,,,
,,,,,,,,
,,,,,,,,
,Recherche,Education - Enseignement - Formation,,Chercheur,,,,
,,Aéronautique,,Ingénieur aéronautique et aérospatial,,,,
,,,,,,,,
